full_name;name;owner;url;stars;forks;data-origin
ATXDAO/rep-and-roles-starter-kit;rep-and-roles-starter-kit;ATXDAO;https://github.com/ATXDAO/rep-and-roles-starter-kit;7;16;burner-connector-dependents-webscraping
La-DAO/Xocolatl-XOC;Xocolatl-XOC;La-DAO;https://github.com/La-DAO/Xocolatl-XOC;7;3;burner-connector-dependents-webscraping
Scaffold-Stark/scaffold-eth-stark;scaffold-eth-stark;Scaffold-Stark;https://github.com/Scaffold-Stark/scaffold-eth-stark;7;2;burner-connector-dependents-webscraping
arjanjohan/scaffold-avs;scaffold-avs;arjanjohan;https://github.com/arjanjohan/scaffold-avs;7;2;burner-connector-dependents-webscraping
credbull/credbull-defi;credbull-defi;credbull;https://github.com/credbull/credbull-defi;7;0;burner-connector-dependents-webscraping
brolag/zk-multiverse;zk-multiverse;brolag;https://github.com/brolag/zk-multiverse;7;0;burner-connector-dependents-webscraping
monad-developers/mollinalli;mollinalli;monad-developers;https://github.com/monad-developers/mollinalli;7;6;github-api-burner-connector
austintgriffith/kudzu-exchange;kudzu-exchange;austintgriffith;https://github.com/austintgriffith/kudzu-exchange;7;;openq
credlancer/credlancer_all;credlancer_all;credlancer;https://github.com/credlancer/credlancer_all;7;;openq
goodwolflabs/mode-spray;mode-spray;goodwolflabs;https://github.com/goodwolflabs/mode-spray;7;2;github-api-scaffold-config
marcuspang/piggy-wallet;piggy-wallet;marcuspang;https://github.com/marcuspang/piggy-wallet;7;6;burner-connector-dependents-webscraping
BuidlGuidl/batch18.buidlguidl.com;batch18.buidlguidl.com;BuidlGuidl;https://github.com/BuidlGuidl/batch18.buidlguidl.com;7;10;github-api-burner-connector
Adrijan-Petek/challenge-over-collateralized-lending;challenge-over-collateralized-lending;Adrijan-Petek;https://github.com/Adrijan-Petek/challenge-over-collateralized-lending;7;0;github-api-scaffold-config
austintgriffith/stupid-staking;stupid-staking;austintgriffith;https://github.com/austintgriffith/stupid-staking;7;0;github-api-scaffold-config
scobru/mecenate-monorepo;mecenate-monorepo;scobru;https://github.com/scobru/mecenate-monorepo;7;1;github-api-scaffold-config
schmidsi/subgraph-composition;subgraph-composition;schmidsi;https://github.com/schmidsi/subgraph-composition;7;2;github-api-scaffold-config
kevinjoshi46b/lsd;lsd;kevinjoshi46b;https://github.com/kevinjoshi46b/lsd;7;2;github-api-scaffold-config
tokenlin/monad-demo;monad-demo;tokenlin;https://github.com/tokenlin/monad-demo;6;11;burner-connector-dependents-webscraping
fabian416/sami;sami;fabian416;https://github.com/fabian416/sami;6;3;burner-connector-dependents-webscraping
JulioMCruz/Infinity;Infinity;JulioMCruz;https://github.com/JulioMCruz/Infinity;6;2;burner-connector-dependents-webscraping
shuklaayush/zukofi;zukofi;shuklaayush;https://github.com/shuklaayush/zukofi;6;1;burner-connector-dependents-webscraping
luloxi/PunkSociety;PunkSociety;luloxi;https://github.com/luloxi/PunkSociety;6;0;burner-connector-dependents-webscraping
Chloezhu010/zkWhistleblower;zkWhistleblower;Chloezhu010;https://github.com/Chloezhu010/zkWhistleblower;6;0;burner-connector-dependents-webscraping
dynos-95/dynos-95;dynos-95;dynos-95;https://github.com/dynos-95/dynos-95;6;;openq
BuidlGuidl/Eth-Splitter;Eth-Splitter;BuidlGuidl;https://github.com/BuidlGuidl/Eth-Splitter;6;8;burner-connector-dependents-webscraping
ETHarvest/HyperHarvest;HyperHarvest;ETHarvest;https://github.com/ETHarvest/HyperHarvest;6;3;burner-connector-dependents-webscraping
yoyoj1023/web3;web3;yoyoj1023;https://github.com/yoyoj1023/web3;6;0;burner-connector-dependents-webscraping
triggerward/catacombs;catacombs;triggerward;https://github.com/triggerward/catacombs;6;0;github-api-scaffold-config
mattiapomelli/beccamose;beccamose;mattiapomelli;https://github.com/mattiapomelli/beccamose;6;1;github-api-scaffold-config
BuidlGuidl/batch11.buidlguidl.com;batch11.buidlguidl.com;BuidlGuidl;https://github.com/BuidlGuidl/batch11.buidlguidl.com;5;9;burner-connector-dependents-webscraping
bark-ruffalo/website-trulyadog.com;website-trulyadog.com;bark-ruffalo;https://github.com/bark-ruffalo/website-trulyadog.com;5;4;burner-connector-dependents-webscraping
PrintRH/apubcc-workshop;apubcc-workshop;PrintRH;https://github.com/PrintRH/apubcc-workshop;5;4;burner-connector-dependents-webscraping
willemolding/Restake-Regen;Restake-Regen;willemolding;https://github.com/willemolding/Restake-Regen;5;2;burner-connector-dependents-webscraping
blaze00193/SimpleNFT;SimpleNFT;blaze00193;https://github.com/blaze00193/SimpleNFT;5;0;burner-connector-dependents-webscraping
manudev97/dapp-zkatm;dapp-zkatm;manudev97;https://github.com/manudev97/dapp-zkatm;5;0;burner-connector-dependents-webscraping
iTechTop/scaffold-nft;scaffold-nft;iTechTop;https://github.com/iTechTop/scaffold-nft;5;0;burner-connector-dependents-webscraping
zk-solidity-army/farcaster_lottery;farcaster_lottery;zk-solidity-army;https://github.com/zk-solidity-army/farcaster_lottery;5;1;github-api-scaffold-config
luksgrin/huffold-eth;huffold-eth;luksgrin;https://github.com/luksgrin/huffold-eth;5;0;github-api-scaffold-config
buidlguidl/batch0.buidlguidl.com;batch0.buidlguidl.com;buidlguidl;https://github.com/buidlguidl/batch0.buidlguidl.com;5;;openq
dustproject/biomes-scaffold;biomes-scaffold;dustproject;https://github.com/dustproject/biomes-scaffold;5;3;github-api-scaffold-config
buidlguidl/event-wallet;event-wallet;buidlguidl;https://github.com/buidlguidl/event-wallet;5;6;github-api-scaffold-config
buildbearlabs/scaffold-eth-2-buildbear;scaffold-eth-2-buildbear;buildbearlabs;https://github.com/buildbearlabs/scaffold-eth-2-buildbear;5;;openq
Novus-Initium/Civikit;Civikit;Novus-Initium;https://github.com/Novus-Initium/Civikit;5;2;burner-connector-dependents-webscraping
graphprotocol/examples;examples;graphprotocol;https://github.com/graphprotocol/examples;5;2;burner-connector-dependents-webscraping
0x-Professor/gdrive2.0;gdrive2.0;0x-Professor;https://github.com/0x-Professor/gdrive2.0;5;1;burner-connector-dependents-webscraping
FhenixProtocol/redact;redact;FhenixProtocol;https://github.com/FhenixProtocol/redact;5;1;burner-connector-dependents-webscraping
Ludium-Official/road-to-bangkok;road-to-bangkok;Ludium-Official;https://github.com/Ludium-Official/road-to-bangkok;5;23;github-api-burner-connector
balancer/scaffold-balancer;scaffold-balancer;balancer;https://github.com/balancer/scaffold-balancer;5;8;github-api-scaffold-config
circle-dot/precog-dev;precog-dev;circle-dot;https://github.com/circle-dot/precog-dev;5;1;github-api-scaffold-config
vote-tech/voto-tech;voto-tech;vote-tech;https://github.com/vote-tech/voto-tech;5;2;github-api-scaffold-config
allocapital/allo-kit;allo-kit;allocapital;https://github.com/allocapital/allo-kit;4;3;burner-connector-dependents-webscraping
BuidlGuidl/batch7.buidlguidl.com;batch7.buidlguidl.com;BuidlGuidl;https://github.com/BuidlGuidl/batch7.buidlguidl.com;4;10;burner-connector-dependents-webscraping
BuidlGuidl/private-key-dice;private-key-dice;BuidlGuidl;https://github.com/BuidlGuidl/private-key-dice;4;7;burner-connector-dependents-webscraping
jashwanth-rw/matrix;matrix;jashwanth-rw;https://github.com/jashwanth-rw/matrix;4;3;burner-connector-dependents-webscraping
DominiqueBuob/polymarket_analysis_v1;polymarket_analysis_v1;DominiqueBuob;https://github.com/DominiqueBuob/polymarket_analysis_v1;4;3;burner-connector-dependents-webscraping
suarja/nature-quest;nature-quest;suarja;https://github.com/suarja/nature-quest;4;2;burner-connector-dependents-webscraping
drzioner/simple-nft-spanish;simple-nft-spanish;drzioner;https://github.com/drzioner/simple-nft-spanish;4;2;burner-connector-dependents-webscraping
ethereum-attestation-service/eas-is-true;eas-is-true;ethereum-attestation-service;https://github.com/ethereum-attestation-service/eas-is-true;4;2;burner-connector-dependents-webscraping
chronicleprotocol/scaffold-oracle-reader;scaffold-oracle-reader;chronicleprotocol;https://github.com/chronicleprotocol/scaffold-oracle-reader;4;2;burner-connector-dependents-webscraping
ethereum-r1/r1-landing;r1-landing;ethereum-r1;https://github.com/ethereum-r1/r1-landing;4;2;burner-connector-dependents-webscraping
cardene777/dapps_book;dapps_book;cardene777;https://github.com/cardene777/dapps_book;4;0;burner-connector-dependents-webscraping
b-tarczynski/worldcare-new;worldcare-new;b-tarczynski;https://github.com/b-tarczynski/worldcare-new;4;0;burner-connector-dependents-webscraping
EZFrames/frames-made-easy;frames-made-easy;EZFrames;https://github.com/EZFrames/frames-made-easy;4;0;burner-connector-dependents-webscraping
chambsbond/Project-Pawledger;Project-Pawledger;chambsbond;https://github.com/chambsbond/Project-Pawledger;4;0;burner-connector-dependents-webscraping
vmmunoza/scaffoldeth-metisdemo;scaffoldeth-metisdemo;vmmunoza;https://github.com/vmmunoza/scaffoldeth-metisdemo;4;;openq
buidlguidl/batch4.buidlguidl.com;batch4.buidlguidl.com;buidlguidl;https://github.com/buidlguidl/batch4.buidlguidl.com;4;;openq
defi-bets/defi-bets-contracts;defi-bets-contracts;defi-bets;https://github.com/defi-bets/defi-bets-contracts;4;0;github-api-scaffold-config
nillionnetwork/scaffold-nillion;scaffold-nillion;nillionnetwork;https://github.com/nillionnetwork/scaffold-nillion;4;;openq
nikosfotiadis/taptrust;taptrust;nikosfotiadis;https://github.com/nikosfotiadis/taptrust;4;1;github-api-scaffold-config
avelous/eth-splitter;eth-splitter;avelous;https://github.com/avelous/eth-splitter;4;14;github-api-scaffold-config
portdeveloper/scaffold-eth-2;scaffold-eth-2;portdeveloper;https://github.com/portdeveloper/scaffold-eth-2;4;;openq
codenamejason/se-2;se-2;codenamejason;https://github.com/codenamejason/se-2;4;;openq
hamiha70/detox-hook;detox-hook;hamiha70;https://github.com/hamiha70/detox-hook;4;5;burner-connector-dependents-webscraping
0x-Professor/DApp-BuyMeACoffee;DApp-BuyMeACoffee;0x-Professor;https://github.com/0x-Professor/DApp-BuyMeACoffee;4;1;burner-connector-dependents-webscraping
gyuyong290/best_challenge_blockchain;best_challenge_blockchain;gyuyong290;https://github.com/gyuyong290/best_challenge_blockchain;4;1;burner-connector-dependents-webscraping
BuidlGuidl/batch20.buidlguidl.com;batch20.buidlguidl.com;BuidlGuidl;https://github.com/BuidlGuidl/batch20.buidlguidl.com;4;11;github-api-burner-connector
monad-developers/workshop-clob;workshop-clob;monad-developers;https://github.com/monad-developers/workshop-clob;4;12;github-api-burner-connector
ifiokjr/scaffold;scaffold;ifiokjr;https://github.com/ifiokjr/scaffold;4;1;github-api-scaffold-config
jrcarlos2000/hello-xyz;hello-xyz;jrcarlos2000;https://github.com/jrcarlos2000/hello-xyz;4;8;github-api-scaffold-config
buidlguidl/impact-calculator;impact-calculator;buidlguidl;https://github.com/buidlguidl/impact-calculator;4;8;github-api-scaffold-config
bhargavkakadiya/eth-denver-ebf;eth-denver-ebf;bhargavkakadiya;https://github.com/bhargavkakadiya/eth-denver-ebf;4;3;github-api-scaffold-config
