full_name,name,owner,url,stars,forks
"jessppp2025/challenge-1-decentralized-staking","challenge-1-decentralized-staking","jessppp2025","https://github.com/jessppp2025/challenge-1-decentralized-staking",0,0
"Aum2405/Web3-User-Profile","Web3-User-Profile","Aum2405","https://github.com/Aum2405/Web3-User-Profile",0,0
"distbit0/telos","telos","distbit0","https://github.com/distbit0/telos",0,0
"graphprotocol/examples","examples","graphprotocol","https://github.com/graphprotocol/examples",5,2
"Wilfred2002/MonBench","MonBench","Wilfred2002","https://github.com/Wilfred2002/MonBench",0,0
"jessppp2025/challenge-0-simple-nft","challenge-0-simple-nft","jessppp2025","https://github.com/jessppp2025/challenge-0-simple-nft",0,0
"nano1x2/trustvault","trustvault","nano1x2","https://github.com/nano1x2/trustvault",0,0
"nathfred/eth-intent-swap","eth-intent-swap","nathfred","https://github.com/nathfred/eth-intent-swap",0,0
"EnigmaticJ3rry/create-eth-foundry-test-workflow","create-eth-foundry-test-workflow","EnigmaticJ3rry","https://github.com/EnigmaticJ3rry/create-eth-foundry-test-workflow",0,0
"abhibrat/NFT-Mint","NFT-Mint","abhibrat","https://github.com/abhibrat/NFT-Mint",0,0
"damianmarti/voting-demo-onchain","voting-demo-onchain","damianmarti","https://github.com/damianmarti/voting-demo-onchain",0,0
"damianmarti/voting-demo","voting-demo","damianmarti","https://github.com/damianmarti/voting-demo",0,0
"NeelBareja/Counter-game-scaffold-eth-2","Counter-game-scaffold-eth-2","NeelBareja","https://github.com/NeelBareja/Counter-game-scaffold-eth-2",0,0
"Hedgewater-tech/domusjackpot-contracts","domusjackpot-contracts","Hedgewater-tech","https://github.com/Hedgewater-tech/domusjackpot-contracts",0,0
"qaZar1/projectE","projectE","qaZar1","https://github.com/qaZar1/projectE",0,0
"aliveevie/festify_gen","festify_gen","aliveevie","https://github.com/aliveevie/festify_gen",0,0
"MrWendigos/Final-project","Final-project","MrWendigos","https://github.com/MrWendigos/Final-project",0,0
"0x-Professor/gdrive2.0","gdrive2.0","0x-Professor","https://github.com/0x-Professor/gdrive2.0",5,1
"SHIRTS-929/Amer","Amer","SHIRTS-929","https://github.com/SHIRTS-929/Amer",0,0
"cesarhenrq/challenge-3-dice-game","challenge-3-dice-game","cesarhenrq","https://github.com/cesarhenrq/challenge-3-dice-game",0,0
"CY-chang/monad-frontend","monad-frontend","CY-chang","https://github.com/CY-chang/monad-frontend",0,0
"kmjones1979/fon-vibe-code-workshop","fon-vibe-code-workshop","kmjones1979","https://github.com/kmjones1979/fon-vibe-code-workshop",0,0
"Rocean07/Monino","Monino","Rocean07","https://github.com/Rocean07/Monino",0,0
"mvivek07/BlockAid-Blockchain-Based-Disaster-Relief-System","BlockAid-Blockchain-Based-Disaster-Relief-System","mvivek07","https://github.com/mvivek07/BlockAid-Blockchain-Based-Disaster-Relief-System",0,0
"Abidoyesimze/MerkleProofX-V2","MerkleProofX-V2","Abidoyesimze","https://github.com/Abidoyesimze/MerkleProofX-V2",0,0
"SharKPep/SmartShield","SmartShield","SharKPep","https://github.com/SharKPep/SmartShield",0,0
"abhibrat/ether-dev","ether-dev","abhibrat","https://github.com/abhibrat/ether-dev",0,0
"apkaisaw/IdeaBar","IdeaBar","apkaisaw","https://github.com/apkaisaw/IdeaBar",0,0
"Pratyush00100/challenge-0-simple-nft","challenge-0-simple-nft","Pratyush00100","https://github.com/Pratyush00100/challenge-0-simple-nft",0,0
"NeelBareja/simple-nft-mint","simple-nft-mint","NeelBareja","https://github.com/NeelBareja/simple-nft-mint",0,0
"purvik6062/stylus-zkp-anon-aadhaar","stylus-zkp-anon-aadhaar","purvik6062","https://github.com/purvik6062/stylus-zkp-anon-aadhaar",0,0
"MaheshMannava/Drshill.xyz","Drshill.xyz","MaheshMannava","https://github.com/MaheshMannava/Drshill.xyz",0,0
"nikolaccc/fraud-detector","fraud-detector","nikolaccc","https://github.com/nikolaccc/fraud-detector",0,0
"p2e-inferno/dgtokenvendor","dgtokenvendor","p2e-inferno","https://github.com/p2e-inferno/dgtokenvendor",0,0
"shebz2023/Med-Record-chain","Med-Record-chain","shebz2023","https://github.com/shebz2023/Med-Record-chain",0,0
"no-cap-equities/scaffold-forte-gemstones","scaffold-forte-gemstones","no-cap-equities","https://github.com/no-cap-equities/scaffold-forte-gemstones",0,0
